Mint Finance Panel,Elite Money Panel,Mills Commercial Finance Panel,Lender,Product Type,Min Loan,Max Loan,Min Term,Max Term,Company Type,PG Required,Homeowner Required,Debenture Required,Other Security,Min Trading Months,Min Monthly Turnover,Existing Lending Required,Additional Criteria,Open Banking,Bank Statements,Filed Accounts,Management Accounts,Aged Debtor,Aged Creditor,Other Documents,Location,Product USP,Submission
TRUE,TRUE,,CubeFunder,Unsecured Loan,5000,100000,3,12,Ltd,Yes,No,Yes,"Assets needed for security, Cross corporate guarantee",3,4000,No,Won't deal with business's with more than 3 directors,Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Wales","Monthly interest rate and only pay on outstanding loan amount, No ERC, Monthly repayments",https://www.cubefunder.com/brokers/
TRUE,TRUE,,CubeFunder,Unsecured Loan,10000,100000,12,24,Ltd,Yes,No,Yes,"Assets needed for security, Cross corporate guarantee",3,10000,No,Won't deal with business's with more than 3 directors,Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Wales","Monthly interest rate and only pay on outstanding loan amount, No ERC, Monthly repayments",https://www.cubefunder.com/brokers/
TRUE,TRUE,,Elect Capital,Unsecured Loan,5000,75000,0,6,Ltd,Yes,No,N/A,N/A,12,25000,Yes,"Need a breakdown of existing lending, Good personal credit, Good strong end of day balances over Â£600",Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Daily weekly or revenue linked payments, Rates from 1.29%- 1.5%",daniel@electcapital.com
TRUE,TRUE,,Elect Capital,Unsecured Loan,75001,750000,0,6,Ltd,Yes,No,Debenture required over Â£75000,N/A,12,25000,Yes,"Need a breakdown of existing lending, Good personal credit, Good strong end of day balances over Â£600",Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Daily weekly or revenue linked payments, Rates from 1.29%- 1.5%",daniel@electcapital.com
TRUE,TRUE,,Fleximize,Unsecured Loan,10000,250000,3,12,"Ltd, LLP",Yes,Yes,N/A,N/A,6,25000,No,Loan amt must not exceed 2 x monthly rev,Available,3 months,1 Year,Yes,N/A,N/A,Last 3 quarters VAT returns,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Monthly Rates between 1.9% - 3.9%, Monthly Repayment",https://partners.fleximize.com/login
TRUE,TRUE,,Fleximize,Unsecured Loan,10000,250000,12,60,"Ltd, LLP",Yes,Yes,N/A,N/A,12,25000,No,Loan amt must not exceed 2 x monthly rev,Available,3 months,1 Year,Yes,N/A,N/A,Last 3 quarters VAT returns,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Monthly Rates between 0.9% - 2.9%, Monthly Repayment",https://partners.fleximize.com/login
TRUE,TRUE,,Fleximize,Asset Finance,10000,500000,3,12,"Ltd, LLP",Yes,Yes,N/A,N/A,6,25000,No,Loan amt must not exceed 2 x monthly rev,Available,3 months,1 Year,Yes,N/A,N/A,Last 3 quarters VAT returns,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Monthly Rates between 1.9% - 3.9%, Monthly Repayment",https://partners.fleximize.com/login
TRUE,TRUE,,Fleximize,Asset Finance,10000,500000,12,60,"Ltd, LLP",Yes,Yes,N/A,N/A,12,25000,No,Loan amt must not exceed 2 x monthly rev,Available,3 months,1 Year,Yes,N/A,N/A,Last 3 quarters VAT returns,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Monthly Rates between 0.9% - 2.9%, Monthly Repayment",https://partners.fleximize.com/login
FALSE,TRUE,,Funding Alternative,Unsecured Loan,10000,250000,0,9,Ltd,Yes - All Directors,No,Yes in exceptional circumstances,N/A,6,12500,No,,Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Rates from 1.2-1.6, Daily weekly repayments or variable payments based on cash receipts",applications@fundingalternative.co.uk
FALSE,TRUE,,Funding Alternative,Merchant Cash Advance,5000,250000,3,9,Ltd,Yes - All Directors,No,Yes in exceptional circumstances,N/A,6,5000,No,Monthly card sales of at least Â£5000,Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Wales",Fixed percentage of daily card payments,applications@fundingalternative.co.uk
FALSE,TRUE,,Funding Alternative,Invoice Finance,0,300000,0,0,Ltd,Yes,No,Yes,N/A,6,12500,No,"Service completed or product supplied at time of invoice, Up to 90% of invoice value paid",Available,6 months,N/A,N/A,N/A,N/A,Copy of all invoices,"Eng, Wales","No contractual arrangement, can be done on selected invoices not the whole debtor book, Bad debt protection is provided, Will do export invoices to global suppliers",applications@fundingalternative.co.uk
TRUE,TRUE,,Funding Circle,Unsecured Loan,10000,250000,6,24,"Ltd, LLP",Yes,No,N/A,N/A,12,0,No,Shareholders (50%) need to have been in place for 12 months,Available,N/A,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Monthly Interest Rate, No ERC, Automated Decision, No Funding Circle Fee added to loan, Monthly Repayment",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=02ad27ded2da472fc1fc6048a1c6c22c340388e86994bf8e
TRUE,TRUE,,Funding Circle,Unsecured Loan,250001,750000,6,24,"Ltd, LLP",Yes,No,N/A,N/A,12,0,No,Shareholders (50%) need to have been in place for 12 months,Available,6 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Monthly Interest Rate, No ERC, No Funding Circle Fee added to loan, Monthly Repayment",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=02ad27ded2da472fc1fc6048a1c6c22c340388e86994bf8e
TRUE,TRUE,,Funding Circle,Unsecured Loan,10000,100000,24,72,"Ltd, LLP",Yes,No,N/A,N/A,12,25000,No,Shareholders (50%) need to have been in place for 12 months,Available,N/A,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Monthly Interest Rate, No ERC, Automated Decision, Monthly Repayment",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=02ad27ded2da472fc1fc6048a1c6c22c340388e86994bf8e
TRUE,TRUE,,Funding Circle,Unsecured Loan,100000,750000,24,72,"Ltd, LLP",Yes,No,N/A,N/A,24,25000,No,Shareholders (50%) need to have been in place for 12 months,Available,6 months,2 Years,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Monthly Interest Rate, No ERC, Monthly Repayment",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=02ad27ded2da472fc1fc6048a1c6c22c340388e86994bf8e
TRUE,TRUE,,Funding Circle,Revolving Credit Facility,1000,250000,1,12,"Ltd, LLP",Yes,No,N/A,N/A,12,2500,No,"No CCJ's against business in last 12 months, Shareholders (50%) need to have been in place for 12 months",Available,N/A,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Instant Decision, Repayment Instalment terms across 1 3 6 9 or 12 months, Flat fee for each instalment setup. No recurring fee to maintain facility",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=02ad27ded2da472fc1fc6048a1c6c22c340388e86994bf8e
TRUE,TRUE,,Funding Circle,Merchant Cash Advance,1000,250000,1,12,"Ltd, LLP",Yes,No,N/A,N/A,12,2500,No,"No CCJ's against business in last 12 months, Shareholders (50%) need to have been in place for 12 months",Available,N/A,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI",Instant Decision,https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=02ad27ded2da472fc1fc6048a1c6c22c340388e86994bf8e
TRUE,TRUE,,Got Capital,Unsecured Loan,1000,200000,3,6,"Ltd, LLP, Sole Traders",No,No,N/A,N/A,3,10000,No,"Don't do Law Firms, Arrangement Fee 3% on offers below 10k / 2% on offers above 10k - taken off loan amount",Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","No Personal Guarantee Required, Weekly Repayments, Happy to lend with existing Debenture",luca@gotcapital.co.uk
TRUE,TRUE,,iwoca,Unsecured Loan,0,25000,12,60,"Ltd, LLP",Yes,No,N/A,N/A,12,5000,No,"12 month term - monthly rates from 2.45%, 24 month term - monthly rates from 1.95%, 36 to 60 month term - monthly rates from 1.5%, Stronger the business better rate available",Available,N/A,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Instant Decisions available up to Â£100k, Monthly Repayment",https://www.iwoca.co.uk/login/passwordless/email
TRUE,TRUE,,iwoca,Unsecured Loan,25001,75000,12,60,"Ltd, LLP",Yes,No,N/A,N/A,12,5000,No,"12 month term - monthly rates from 2.45%, 24 month term - monthly rates from 1.95%, 36 to 60 month term - monthly rates from 1.5%, Stronger the business better rate available",Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Instant Decisions available up to Â£100k, Monthly Repayment",https://www.iwoca.co.uk/login/passwordless/email
TRUE,TRUE,,iwoca,Unsecured Loan,75001,1000000,12,60,"Ltd, LLP",Yes,No,N/A,N/A,12,5000,No,"12 month term - monthly rates from 2.45%, 24 month term - monthly rates from 1.95%, 36 to 60 month term - monthly rates from 1.5%, Stronger the business better rate available",Available,6 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Instant Decisions available up to Â£100k, Monthly Repayment",https://www.iwoca.co.uk/login/passwordless/email
TRUE,TRUE,,Lending Crowd,Unsecured Loan,75000,350000,6,60,"Ltd, LLP",Yes,Yes,N/A,N/A,24,10000,No,"No Active CCJ's above Â£1500, No failed businesses in last 2 years, Director in place for at least 2 years, No Property Development",Available,3 months,2 Years,N/A,N/A,N/A,N/A,"Eng, Scot, Wales",Monthly Repayment,https://brokers.lendingcrowd.com/login
TRUE,TRUE,,Lending Crowd,Asset Finance,75000,500000,6,60,"Ltd, LLP",Yes,Yes,N/A,N/A,24,10000,No,"No Active CCJ's above Â£1500, No failed businesses in last 2 years, Director in place for at least 2 years, No Property Development",Available,3 months,2 Years,N/A,N/A,N/A,N/A,"Eng, Scot, Wales",Monthly Repayment,https://brokers.lendingcrowd.com/login
TRUE,TRUE,,Little Business Loans,Unsecured Loan,3000,20000,1,12,Ltd,Yes,No,N/A,Secured against non fixed assets eg vehicles stock machinery,6,5000,No,,Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Wales","Rates from 3% pm, Daily weekly or monthly repayments",https://littlebusinessloans.com/brokers/
TRUE,TRUE,,Max Cap,Unsecured Loan,10000,100000,6,12,"Ltd, LLP, Sole Traders",Yes,No,N/A,N/A,12,15000,No,"Good end of day balances, No more than 3 existing lenders",Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Weekly or Monthly Payments, Happy to lend with existing Debenture",https://brokerportal.maxcap.co.uk/BrokerLogin.php
TRUE,TRUE,,Max Cap,Unsecured Loan,100001,250000,6,12,"Ltd, LLP, Sole Traders",Yes,Yes,N/A,N/A,12,15000,No,"Good end of day balances, No more than 3 existing lenders",Available,6 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Weekly or Monthly Payments, Happy to lend with existing Debenture",https://brokerportal.maxcap.co.uk/BrokerLogin.php
TRUE,TRUE,,Momenta,Unsecured Loan,50000,350000,6,72,"Ltd, LLP (one partner has to be Ltd Co)",Yes,Yes,N/A,N/A,24,30000,No,"Not Loss Making on Accounts, Must have Solvent Balance Sheet, No more than 3 failed payments in bank statements",Available,3 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Rates Competitive with FC, Happy to re-finance existing lending, Monthly Repayment",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
TRUE,TRUE,,Momenta,Asset Finance,50000,1500000,6,72,"Ltd, LLP (one partner has to be Ltd Co)",Yes,Yes,N/A,N/A,24,30000,No,"Not Loss Making on Accounts, Must have Solvent Balance Sheet, No more than 3 failed payments in bank statements, 1st or 2nd Charge basis, Primary Residence not acceptable, Resi 75% LTV - Commercial 65% LTV, RICS Valuation required",Available,3 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Rates Competitive with FC, Happy to re-finance existing lending, Monthly Repayment",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
TRUE,TRUE,,Momenta,Asset Finance,200000,5000000,0,24,"Ltd, LLP (one partner has to be Ltd Co)",Yes,Yes,N/A,N/A,24,30000,No,"Not Loss Making on Accounts, Must have Solvent Balance Sheet, No more than 3 failed payments in bank statements, 1st charge basis, Primary Residence not acceptable, Up to 75% LTV, RICS Valuation required, Clear view of Exit Plan (sale or re-finance onto longer term debt), Must have proven track record in similar projects",Available,3 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Interest can be rolled up across full term (subject to LTV) or served monthly if property generates rental income, starting from 1% per month (fixed or variable)",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
TRUE,TRUE,,Momenta,Asset Finance,200000,4000000,0,24,"Ltd, LLP (one partner has to be Ltd Co)",Yes,Yes,N/A,N/A,24,30000,No,"Not Loss Making on Accounts, Must have Solvent Balance Sheet, No more than 3 failed payments in bank statements, 1st charge basis, Primary Residence not acceptable, Up to 70% LTV, RICS Valuation required, Clear view of Exit Plan (sale or re-finance onto longer term debt), Must have proven track record in similar projects",Available,3 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Interest can be rolled up across full term (subject to LTV) or served monthly if property generates rental income, 1.3% per month (fixed for the term of loan)",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
TRUE,TRUE,,Momenta,Asset Finance,0,1500000,0,24,"Ltd, LLP (one partner has to be Ltd Co)",Yes,Yes,N/A,N/A,24,30000,No,"Not Loss Making on Accounts, Must have Solvent Balance Sheet, No more than 3 failed payments in bank statements, 1st charge basis, Up to 65% LTV, RICS Valuation required, Clear view of Exit Plan (re-finance at end of Term Loan)",Available,3 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Interest only up to 24 months, Rates starting at SONIA + 7% per annum, Monthly Repayment",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
TRUE,TRUE,,Momenta,Asset Finance,50000,250000,24,60,"Ltd, LLP (one partner has to be Ltd Co)",Yes,Yes,N/A,N/A,24,17000,No,"Finance Lease & Hire Purchase available, No Vehicles, Vendor Quote or Pro-forma Invoice required, Soft Assets",Available,3 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Wales","Assets they can finance = Catering equipment IT & Comms equipment Security equipment Office furniture & fittings Telecoms & Video conferencing Scaffolding Gym equipment, Monthly Repayment",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
TRUE,TRUE,,My Cashline,Unsecured Loan,5000,100000,12,24,"Ltd, LLP",Yes,No,N/A,N/A,12,15000,No,"Don't do car sales, Send 1 Year Filed Accounts is positive (but not required), Arrangement Fees from 4%",Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Monthly Repayments, No ERC, Monthly Rates between 2.75% - 4%",brokers@mycashline.co.uk
TRUE,TRUE,,Nationwide Finance,Secured Loan,25000,1000000,12,60,"Ltd, LLP, Sole Traders",No,Yes,N/A,"1st or 2nd Charge on Residential or Commercial Property, Property Owners have to be Director or Shareholder of the business,",3,10000,No,"Needs to be used to re-finance Assets, Have to be VAT registered",Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Wales","LTV up to 60% of equity, No Valuations Needed, No Exit or Solicitor Fees, Annual Rates between 6%-8%, Will look at Business / Clients with Poor Credit",https://urldefense.proofpoint.com/v2/url?u=http-3A__www.nationwidefinance.co.uk&d=DwMFAw&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=BlTrvyXoXAqFtTdyJAv6INyzHHVgN6NncdXYs-AKo-k&m=Ax6Op2eufF_NxbtG8UogRtkk1-XILeW4oLcz1YgaiKkdHbKgl9DAr2C3enZrFMC9&s=6MaSkctFgqeNdXMM3PC4004ekxkhinXVviKc0eU8v2Q&e=
TRUE,TRUE,,Nationwide Finance,Secured Loan,25000,1000000,12,60,Ltd,No,Yes,N/A,"1st or 2nd Charge on Residential or Commercial Property, Property Owners have to be Director or Shareholder of the business,",3,10000,No,,Available,3 months,N/A,N/A,N/A,N/A,N/A,"Eng, Wales","LTV up to 60% of equity, No Valuations Needed, No Exit or Solicitor Fees, Annual Rates between 12-14%, Will look at Business / Clients with Poor Credit",https://urldefense.proofpoint.com/v2/url?u=http-3A__www.nationwidefinance.co.uk&d=DwMFAw&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=BlTrvyXoXAqFtTdyJAv6INyzHHVgN6NncdXYs-AKo-k&m=Ax6Op2eufF_NxbtG8UogRtkk1-XILeW4oLcz1YgaiKkdHbKgl9DAr2C3enZrFMC9&s=6MaSkctFgqeNdXMM3PC4004ekxkhinXVviKc0eU8v2Q&e=
TRUE,TRUE,,Nucleus,Unsecured Loan,10000,250000,3,24,Ltd,Yes,Yes,Yes on loans > £100k,N/A,12,15000,No,,Mandatory,12 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Monthly Repayments, Will do Legal Firms, Monthly Rates of 1.99% - 2.49%, Will lend even if insolvent or loss making",https://www.myfundingportal.co.uk/mynucleus
TRUE,TRUE,,Nucleus,Unsecured Loan,25000,350000,25,60,Ltd,Yes,Yes,Yes,N/A,12,15000,No,,Mandatory,12 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Monthly Repayments, Will do Legal Firms, Annual Rates of 16.75%, Will lend even if insolvent or loss making if MI is positive, If business is strong will do Used Car Sales & Construction",https://www.myfundingportal.co.uk/mynucleus
TRUE,TRUE,,Nucleus,Unsecured Loan,50000,500000,36,72,Ltd,Yes,Yes,Yes,N/A,12,15000,No,,Mandatory,12 months,1 Year,N/A,N/A,N/A,Open Accounting required,"Eng, Scot, Wales","Monthly Repayments, Will do Legal Firms, Annual Rates of 14.95%",https://www.myfundingportal.co.uk/mynucleus
TRUE,TRUE,,Nucleus,Unsecured Loan,5000,25000,3,12,Ltd,Yes,No,N/A,N/A,12,15000,No,Revenue based loan,Mandatory,12 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Will lend even id insolvent or loss making, Factor Rate of 1.35, Monthly Repayments",https://www.myfundingportal.co.uk/mynucleus
TRUE,TRUE,,Nucleus,Unsecured Loan,5000,50000,3,12,Ltd,Yes,Yes,N/A,N/A,12,15000,No,Revenue based loan,Mandatory,12 months,1 Year,N/A,N/A,N/A,N/A,"Eng, Scot, Wales","Will lend even id insolvent or loss making, Factor Rate of 1.3, Monthly Repayments",https://www.myfundingportal.co.uk/mynucleus
TRUE,TRUE,,One Stop business Finance,Asset Finance,100000,2500000,12,24,"Ltd, LLP, Sole Traders",Yes,Yes,Yes,"First or second charge on land or property, Need minimum of Â£180000 of equity",0,10000,No,,Available,6 months,1 Year,Yes,N/A,N/A,N/A,"Eng, Wales","Can use residential or commercial property for security, Monthly rates from 1.65%, Maximum LTV is 75%, No ERC",liamkillen@osbf.co.uk
TRUE,TRUE,,One Stop business Finance,Invoice Finance,50000,1700000,12,0,"Ltd, LLP, Sole Traders",Yes,Yes,Yes,N/A,0,10000,No,"Debt purchase agreement also required, Up to 90% of all fundable debtor book, Service completed or product supplied at time of invoice",Available,6 months,1 Year,Yes,N/A,N/A,Copy of all invoices,"Eng, Wales",Bad debt protection of 0.85% of turnover,liamkillen@osbf.co.uk
TRUE,TRUE,,One Stop business Finance,Asset Finance,50000,2500000,6,24,"Ltd, LLP, Sole Traders",Yes,Yes,Yes,"First or second charge on land or property, Need minimum of Â£180000 of equity",0,10000,No,,Available,6 months,1 Year,Yes,N/A,N/A,N/A,"Eng, Wales","Can use residential or commercial property for security, Monthly rates from 1.65%, Maximum LTV is 75%, No ERC",liamkillen@osbf.co.uk
TRUE,TRUE,,One Stop business Finance,Invoice Finance,50000,1750000,6,24,"Ltd, LLP, Sole Traders",Yes,Yes,Yes,First charge on land or property or development,0,10000,No,,Available,6 months,1 Year,Yes,N/A,N/A,Copy of all invoices,"Eng, Wales","Can use residential or commercial property for security, Monthly rates from 1.75%, Maximum LTC is 90% (max LTGDV 70%)",liamkillen@osbf.co.uk
TRUE,FALSE,,Out Fund,Unsecured Loan,10000,1500000,3,12,"Ltd, LLP",No,No,N/A,N/A,12,25000,No,"Â£10k-Â£1.5m in funding (up to 20% of av. revenue), All industries ex. Construction - adult - restaurants - financial - gambling - forestry, No HMRC arears and large CCJs, No bounced payments, No multiple short-term lenders",Available,6 months,N/A,Yes,Yes,N/A,Cashflow forecast for loans (over Â£250k),"Eng, Scot, Wales, NI","Unsecured with no personal-guarantee (as standard), Ability to choose fixed weekly repayments or a revenue share,",https://app.out.fund/users/sign_in
FALSE,TRUE,,Playter,Revolving Credit Facility,30000,750000,3,12,Ltd,No,No,N/A,N/A,12,30000,No,"More than 1 Director, Less than 3 bounced payments in the last 12 months (max 6 in the last 12 months) , Average Bank Balances of 2%+ of turnover, 1.3-2.5% fee of client's facility per month, Don't do Property Development, Won't do CCJ's",Mandatory,6 months,1 Year,Yes,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Playter Pay, Can be used for VAT / CT payments, No debentures, Generally No PG but can be added based on how strong the financials are, Can upload invoices and split the cost of that over the monthly instalments. First Instalment is repaid on day Playter pay Supplier",https://app.playter.co/
FALSE,TRUE,,Playter,Unsecured Loan,20000,500000,3,12,Ltd,Yes,No,N/A,N/A,12,30000,No,"More than 1 Director, Less than 3 bounced payments in the last 12 months (max 6 in the last 12 months) , Average Bank Balances of 2%+ of turnover, 1.8-2.5% per month on a 12 month facility, Don't do Property Development, Won't do CCJ's",Mandatory,6 months,1 Year,Yes,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Playter Boost, Don't need to be showing Profits in accounts",https://app.playter.co/
FALSE,TRUE,,Playter,Unsecured Loan,20000,500000,12,24,Ltd,Yes,Yes,N/A,N/A,12,30000,No,"More than 1 Director, Less than 3 bounced payments in the last 12 months (max 6 in the last 12 months) , Average Bank Balances of 2%+ of turnover, 1.8-2.5% per month on a 12 month facility, Don't do Property Development, Won't do CCJ's",Mandatory,6 months,1 Year,Yes,N/A,N/A,N/A,"Eng, Scot, Wales, NI","Playter Boost, Dont' need to be showing profits in accounts",https://app.playter.co/
